               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.032005,            0.013322,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035781,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.03158,            0.015242,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034989,                   0,            0.093693,          0.00069307,          0.00069307
                   2,            0.033559,            0.013896,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034401,                   0,            0.090078,           0.0010782,           0.0010782
                   3,            0.033565,            0.014729,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033913,                   0,            0.086455,           0.0014555,           0.0014555
                   4,            0.032994,            0.013086,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033332,                   0,            0.082825,           0.0018248,           0.0018248
                   5,            0.034876,            0.012957,                   0,                   0,                   0,                   0,                   0,                   0,             0.00313,                   0,            0.079186,           0.0021861,           0.0021861
                   6,            0.036961,            0.011279,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029399,                   0,             0.07554,           0.0025396,           0.0025396
                   7,             0.04102,            0.013599,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027574,                   0,            0.071885,           0.0028852,           0.0028852
                   8,            0.039872,            0.013862,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026034,                   0,            0.068223,           0.0032228,           0.0032228
                   9,            0.042789,            0.013192,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022184,                   0,            0.064553,           0.0035525,           0.0035525
                  10,            0.042975,            0.013825,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023497,                   0,            0.060874,           0.0038743,           0.0038743
                  11,            0.041297,            0.013657,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024368,                   0,            0.057188,           0.0041882,           0.0041882
                  12,             0.04579,            0.012998,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019757,                   0,            0.053494,           0.0044941,           0.0044941
                  13,            0.043232,            0.013735,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018678,                   0,            0.049792,           0.0047922,           0.0047922
                  14,            0.041256,            0.012936,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017833,                   0,            0.046082,           0.0050823,           0.0050823
                  15,            0.054432,            0.012562,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016838,                   0,            0.042364,           0.0053644,           0.0053644
                  16,            0.045234,            0.012252,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019311,                   0,            0.038639,           0.0056387,           0.0056387
                  17,            0.047114,            0.012688,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016417,                   0,            0.034905,           0.0059051,           0.0059051
                  18,            0.049495,            0.015155,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018162,                   0,            0.031163,           0.0061635,           0.0061635
                  19,            0.047754,            0.013904,                   0,                   0,                   0,                   0,                   0,                   0,            0.001765,                   0,            0.027414,            0.006414,            0.006414
                  20,            0.049308,            0.014426,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014595,                   0,            0.023657,           0.0066566,           0.0066566
                  21,            0.044674,            0.014259,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013644,                   0,            0.019891,           0.0068913,           0.0068913
                  22,            0.047823,            0.015467,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014363,                   0,            0.016118,            0.007118,            0.007118
                  23,            0.044821,            0.014214,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015736,                   0,            0.012337,           0.0073369,           0.0073369
                  24,            0.044534,             0.01485,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018234,                   0,           0.0085478,           0.0075478,           0.0075478
                  25,            0.050719,            0.012469,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017226,                   0,            0.007525,            0.007525,            0.007525
                  26,            0.045606,            0.013256,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017062,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.051018,            0.012817,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015823,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.043304,            0.012405,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015096,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.044409,            0.012234,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014531,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.049854,            0.012553,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014102,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.042413,            0.015739,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018238,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.046812,             0.01243,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016184,                   0,            0.006931,            0.006931,            0.006931
